symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume
RELIANCE,1435.2,-1.0,-0.06962818548948614,1426.0,1442.8,1417.5,1436.2,1611.8,1290.0,8663105
HDFCBANK,780.85,-15.199999999999932,-1.9094277997613132,784.0,788.75,777.2,796.05,1020.5,726.65,38016841
BAJFINANCE,955.35,-17.399999999999977,-1.7887432536622954,971.0,971.95,951.0,972.75,1102.5,787.9,5555386
BHARTIARTL,1834.5,7.900000000000091,0.4324975364064432,1820.0,1840.8,1815.2,1826.6,2174.5,1746.9,4839183
ICICIBANK,1264.8,-14.200000000000045,-1.110242376856923,1279.6,1279.6,1261.2,1279.0,1500.0,1187.6,11137424
AXISBANK,1268.3,-24.40000000000009,-1.8875222402723053,1280.0,1282.0,1264.6,1292.7,1418.3,1042.5,6358595
ETERNAL,256.39,-1.0300000000000296,-0.40012431046539876,255.81,257.4,252.6,257.42,368.45,212.6,17618369
SBIN,1019.3,-72.70000000000005,-6.657509157509161,1090.0,1095.0,1010.9,1092.0,1234.7,755.5,48065909
INFY,1179.2,16.5,1.4191106906338693,1161.0,1183.5,1158.8,1162.7,1728.0,1149.8,7582770
BAJAJ-AUTO,10711.5,106.5,1.0042432814710043,10625.0,10785.0,10540.0,10605.0,10740.0,7612.0,375627
ADANIPORTS,1760.4,27.600000000000136,1.592797783933526,1740.4,1792.0,1727.7,1732.8,1762.4,1290.5,4984856
LT,3974.5,-48.5,-1.205567984091474,4010.0,4014.0,3960.0,4023.0,4440.0,3284.1,1620273
M&M,3330.4,-40.29999999999973,-1.1955973536654028,3357.8,3363.0,3317.6,3370.7,3839.9,2896.0,2071348
HINDUNILVR,2287.7,15.5,0.6821582607164863,2272.2,2297.3,2256.0,2272.2,2705.09,2022.5,1104526
TCS,2394.4,-7.0,-0.2914966269676022,2398.0,2407.0,2375.1,2401.4,3630.5,2346.2,3792199
KOTAKBANK,380.8,1.400000000000034,0.36900369003690936,379.0,381.5,374.0,379.4,453.2,345.5,16183126
INDIGO,4522.7,15.800000000000182,0.3505735649781487,4488.0,4545.8,4465.7,4506.9,6232.5,3895.2,827316
SUNPHARMA,1847.9,13.5,0.7359354557348451,1822.0,1857.5,1819.2,1834.4,1857.8,1548.0,2837885
ADANIENT,2505.9,-7.799999999999727,-0.31029955841984835,2519.0,2546.1,2500.0,2513.7,2612.78,1753.0,1499613
ULTRACEMCO,11950.0,-196.0,-1.6136999835336736,12090.0,12110.0,11877.0,12146.0,13110.0,10325.0,258727
COALINDIA,456.4,-10.25,-2.1965070181077895,461.2,463.35,454.9,466.65,491.25,368.65,15767759
MARUTI,13726.0,-44.0,-0.31953522149600583,13672.0,13789.0,13626.0,13770.0,17370.0,12016.0,270505
BEL,439.7,0.25,0.05688929343497554,439.0,443.8,437.8,439.45,473.45,304.8,11164661
HCLTECH,1198.4,15.0,1.2675342234240323,1179.8,1202.8,1176.8,1183.4,1780.1,1181.1,2813749
SHRIRAMFIN,1007.75,-7.899999999999977,-0.7778270073352018,1013.0,1013.35,1001.25,1015.65,1108.0,566.5,5755029
TATASTEEL,214.49,-2.5999999999999943,-1.1976599566999835,217.0,217.4,214.25,217.09,219.2,140.51,17760366
ONGC,279.2,-4.699999999999989,-1.6555125044029548,283.6,284.0,278.6,283.9,307.5,228.45,9290168
JIOFIN,249.34,-1.6800000000000068,-0.6692693809258253,250.98,251.49,248.3,251.02,338.6,223.3,11367680
HINDALCO,1044.4,-11.299999999999955,-1.070379842758355,1048.4,1058.0,1035.3,1055.7,1080.0,603.75,3065690
BAJAJFINSV,1818.3,-6.2000000000000455,-0.33981912852836643,1824.5,1827.2,1802.5,1824.5,2195.0,1597.0,719570
TMPV,355.45,-3.8000000000000114,-1.0577592205984723,356.0,357.45,353.7,359.25,450.4,294.3,4615800
TECHM,1463.0,14.799999999999955,1.0219582930534425,1453.5,1469.8,1448.4,1448.2,1854.0,1304.1,1360644
TITAN,4509.0,201.5,4.677887405687754,4314.0,4605.0,4213.4,4307.5,4554.0,3260.2,4777990
EICHERMOT,7302.5,-25.0,-0.34118048447628796,7299.5,7370.0,7228.0,7327.5,8230.0,5219.5,259522
HDFCLIFE,621.7,-3.699999999999932,-0.5916213623280991,625.5,628.0,618.3,625.4,820.75,555.1,2352588
ITC,307.45,0.05000000000001137,0.016265452179574293,308.9,308.9,305.7,307.4,444.2,287.0,17739844
NESTLEIND,1482.4,6.400000000000091,0.4336043360433666,1476.6,1496.3,1470.0,1476.0,1493.0,1084.7,1471411
GRASIM,2968.6,8.0,0.27021549685874485,2960.6,2980.4,2932.1,2960.6,2979.0,2502.5,505248
WIPRO,197.91,0.549999999999983,0.27867855695175464,198.0,198.94,196.7,197.36,273.1,186.5,15970687
NTPC,402.15,1.7999999999999545,0.44960659423003735,398.0,405.1,397.15,400.35,414.4,315.55,4740939
POWERGRID,313.95,0.14999999999997726,0.047801147227526215,315.2,315.2,310.6,313.8,324.95,250.0,7929393
APOLLOHOSP,8097.0,260.0,3.3175960188847773,7837.0,8115.0,7812.5,7837.0,8099.5,6677.5,922866
TRENT,4242.3,-51.80000000000018,-1.2063063272862806,4283.2,4318.9,4221.9,4294.1,6261.0,3275.5,541763
MAXHEALTH,1012.5,-2.7999999999999545,-0.27578055747069385,1013.6,1024.6,1007.4,1015.3,1314.3,903.0,1835293
ASIANPAINT,2599.9,69.30000000000018,2.7384809926499716,2540.0,2607.4,2515.4,2530.6,2985.7,2115.0,2327900
SBILIFE,1872.1,-0.10000000000013642,-0.005341309689143063,1874.9,1885.0,1865.2,1872.2,2132.0,1693.1,673259
CIPLA,1347.0,-15.299999999999955,-1.12310063862585,1355.0,1366.7,1341.3,1362.3,1673.0,1165.7,1044824
JSWSTEEL,1277.8,-5.600000000000136,-0.4363409693003067,1283.4,1284.9,1266.8,1283.4,1306.8,935.0,811858
TATACONSUM,1176.2,24.5,2.1272900929061387,1155.0,1194.0,1155.0,1151.7,1220.9,1007.2,3672201
DRREDDY,1293.9,-13.699999999999818,-1.0477210156010874,1303.5,1310.2,1290.0,1307.6,1379.7,1138.5,964903
